day,code,order,treatment,wood,behaviour,size,count,dur_total,dur_mean,proportion,size,difference,inbred,
friday,1305,3,0,C,Allogrooming,0,0,0,0,0,0.975,-0.366666667,1,
friday,1343,2,0,C,Allogrooming,0,0,0,0,0,0.951219512,-0.033333333,NA,
friday,1447,9,1,D,Allogrooming,-1,1,2.325,2.325,1.6,0.782608696,-0.233333333,1,
friday,1453,4,0,C,Allogrooming,0,1,3.993,3.993,2.7,1.125,-0.066666667,1,
friday,1591,7,1,S,Allogrooming,0,0,0,0,0,0.909090909,-0.3,0,
friday,1649,9,1,S,Allogrooming,0,4,8.738,2.184,5.8,1.083333333,0.1,NA,
friday,2464,4,0,C,Allogrooming,0,2,4.751,2.376,3.2,0.923076923,0.433333333,1,
friday,2798,4,1,S,Allogrooming,-1,0,0,0,0,0.804878049,-0.266666667,1,
friday,3225,5,1,D,Allogrooming,0,2,3.996,1.998,2.7,1,0,1,
friday,3238,8,1,D,Allogrooming,0,8,74.504,9.313,49.7,0.933333333,0.333333333,NA,
friday,3518,8,1,S,Allogrooming,0,3,9.245,3.082,6.2,0.886363636,-0.166666667,0,
friday,3769,8,1,S,Allogrooming,0,0,0,0,0,0.857142857,-0.2,0,
friday,4099,1,1,D,Allogrooming,1,0,0,0,0,1.216216216,0.033333333,1,
friday,5390,7,1,D,Allogrooming,1,1,7.007,7.007,4.7,1.551724138,0.533333333,0,
friday,6116,6,1,D,Allogrooming,-1,0,0,0,0,0.695652174,-0.35,NA,
friday,6377,5,1,S,Allogrooming,0,4,33.499,8.375,22.3,1.137931034,-0.1,0,
friday,6394,6,1,D,Allogrooming,1,0,0,0,0,1.258064516,-0.033333333,0,
friday,7106,2,0,C,Allogrooming,1,0,0,0,0,1.285714286,-0.333333333,1,
friday,7647,9,1,S,Allogrooming,0,0,0,0,0,1.083333333,-0.066666667,1,
friday,8959,5,0,C,Allogrooming,0,0,0,0,0,0.970588235,-0.166666667,1,
friday,9560,7,1,S,Allogrooming,-1,0,0,0,0,0.567567568,-0.533333333,NA,
friday,9599,1,0,C,Allogrooming,0,0,0,0,0,0.87804878,-0.166666667,1,
friday,(0)3055,2,1,D,Allogrooming,-1,0,0,0,0,0.825,-0.033333333,1,
friday,(0)3451,3,1,D,Allogrooming,0,0,0,0,0,0.857142857,-0.166666667,1,
friday,(0)8730,3,0,C,Allogrooming,0,0,0,0,0,1.071428571,0.133333333,1,
monday,1305,3,1,D,Allogrooming,0,13.913,3.478,2.557,9.3,0.710526316,-0.033333333,1,
monday,1343,9,0,C,Allogrooming,0,13.248,13.248,NA,8.8,0.967741935,-0.066666667,NA,
monday,1447,5,1,D,Allogrooming,-1,0,0,0,0,0.810810811,-0.333333333,1,
monday,1453,6,1,S,Allogrooming,0,0,0,NA,0,0.942857143,0.166666667,1,
monday,1456,11,1,S,Allogrooming,-1,0,0,NA,0,0.75,-0.3,1,
monday,1591,7,1,S,Allogrooming,-1,0,0,NA,0,0.7,-0.1,0,
monday,1945,11,0,C,Allogrooming,-1,0.747,0.747,NA,0.5,1,0,1,
monday,2138,8,1,S,Allogrooming,0,4.239,2.12,1.234,2.8,1.583333333,0.7,NA,
monday,2360,9,0,C,Allogrooming,0,0,0,NA,0,1.181818182,0.2,NA,-
monday,2464,12,1,S,Allogrooming,1,0,0,NA,0,1.448275862,-0.1,1,
monday,3238,12,1,S,Allogrooming,1,9.264,9.264,NA,6.2,1.344827586,-0.1,NA,
monday,3705,11,1,S,Allogrooming,1,5.497,5.497,NA,3.7,0.827586207,-0.166666667,1,
monday,3706,9,1,S,Allogrooming,1,0,0,NA,0,1.285714286,0.266666667,0,
monday,4099,7,1,S,Allogrooming,0,17.975,8.988,5.66,12,1.028571429,0.266666667,1,
monday,4210,1,0,C,Allogrooming,0,5.004,5.004,NA,3.3,0.964285714,-0.033333333,1,
monday,4841,10,1,S,Allogrooming,0,39.247,9.812,7.603,26.2,0.882352941,-0.133333333,1,
monday,5468,2,1,D,Allogrooming,-1,4.743,4.743,NA,3.2,0.675,-0.433333333,1,
monday,6377,2,1,D,Allogrooming,1,18.501,6.167,6.144,12.3,0.888888889,0.133333333,0,
monday,6394,10,0,C,Allogrooming,0,22.746,4.549,4.337,15.2,0.96,0.266666667,0,
monday,6820,10,0,C,Allogrooming,0,0,0,NA,0,1.058823529,0.066666667,NA,
monday,7106,4,1,D,Allogrooming,-1,109.584,12.176,9.128,73.1,0.677419355,0.333333333,1,
monday,7647,5,1,D,Allogrooming,0,17.248,17.248,NA,11.5,0.9375,0.1,1,
monday,8259,1,0,C,Allogrooming,0,0,0,NA,0,0.888888889,-0.1,1,
monday,8721,8,1,S,Allogrooming,0,0,0,NA,0,0.909090909,-0.1,1,
monday,9123,10,0,C,Allogrooming,0,0,0,NA,0,0.87804878,-0.1,1,
monday,9560,9,0,C,Allogrooming,0,0,0,NA,0,0.923076923,0.1,NA,
monday,9599,6,1,S,Allogrooming,0,0,0,NA,0,1.090909091,0.066666667,1,
monday,9603,3,1,D,Allogrooming,0,0,0,NA,0,1.08,-0.033333333,1,
monday,(0)3055,4,1,D,Allogrooming,0,0,0,0,0,0.970588235,-0.233333333,1,