day,code,order,treatment,wood,behaviour,size,count,size,difference,inbred
friday,1305,3,0,C,Startle,0,0,0.975,-0.3666667,1
monday,1305,3,1,D,Startle,1,3,0.71052632,-0.0333333,1
friday,1343,2,0,C,Startle,0,0,0.95121951,-0.0333333,NA
monday,1343,9,0,C,Startle,1,0,0.96774194,-0.0666667,NA
friday,1447,9,1,D,Startle,-1,0,0.7826087,-0.2333333,1
monday,1447,5,1,D,Startle,0,0,0.81081081,-0.3333333,1
friday,1453,4,0,C,Startle,0,0,1.125,-0.0666667,1
monday,1453,6,1,S,Startle,1,0,0.94285714,0.16666667,1
monday,1456,11,1,S,Startle,0,2,0.75,-0.3,1
friday,1591,7,1,S,Startle,0,0,0.90909091,-0.3,0
monday,1591,7,1,S,Startle,0,0,0.7,-0.1,0
friday,1649,9,1,S,Startle,0,4,1.08333333,0.1,NA
monday,1945,11,0,C,Startle,0,0,1,0,1
monday,2138,8,1,S,Startle,1,0,1.58333333,0.7,NA
monday,2360,9,0,C,Startle,1,0,1.18181818,0.2,NA
friday,2464,4,0,C,Startle,0,4,0.92307692,0.43333333,1
monday,2464,12,1,S,Startle,2,2,1.44827586,-0.1,1
friday,2798,4,1,S,Startle,-1,0,0.80487805,-0.2666667,1
friday,3225,5,1,D,Startle,0,0,1,0,1
friday,3238,8,1,D,Startle,0,3,0.93333333,0.33333333,NA
monday,3238,12,1,S,Startle,2,1,1.34482759,-0.1,NA
friday,3518,8,1,S,Startle,0,11,0.88636364,-0.1666667,0
monday,3705,11,1,S,Startle,2,1,0.82758621,-0.1666667,1
monday,3706,9,1,S,Startle,2,1,1.28571429,0.26666667,0
friday,3769,8,1,S,Startle,0,6,0.85714286,-0.2,0
friday,4099,1,1,D,Startle,1,2,1.21621622,0.03333333,1
monday,4099,7,1,S,Startle,1,0,1.02857143,0.26666667,1
monday,4210,1,0,C,Startle,1,0,0.96428571,-0.0333333,1
monday,4841,10,1,S,Startle,1,0,0.88235294,-0.1333333,1
friday,5390,7,1,D,Startle,1,1,1.55172414,0.53333333,0
monday,5468,2,1,D,Startle,0,0,0.675,-0.4333333,1
friday,6116,6,1,D,Startle,-1,3,0.69565217,-0.35,NA
friday,6377,5,1,S,Startle,0,1,1.13793103,-0.1,0
monday,6377,2,1,D,Startle,2,0,0.88888889,0.13333333,0
friday,6394,6,1,D,Startle,1,6,1.25806452,-0.0333333,0
monday,6394,10,0,C,Startle,1,0,0.96,0.26666667,0
monday,6820,10,0,C,Startle,1,0,1.05882353,0.06666667,NA
friday,7106,2,0,C,Startle,1,0,1.28571429,-0.3333333,1
monday,7106,4,1,D,Startle,0,3,0.67741936,0.33333333,1
friday,7647,9,1,S,Startle,0,4,1.08333333,-0.0666667,1
monday,7647,5,1,D,Startle,1,0,0.9375,0.1,1
monday,8259,1,0,C,Startle,1,0,0.88888889,-0.1,1
monday,8721,8,1,S,Startle,1,0,0.90909091,-0.1,1
friday,8959,5,0,C,Startle,0,0,0.97058824,-0.1666667,1
monday,9123,10,0,C,Startle,1,0,0.87804878,-0.1,1
friday,9560,1,1,S,Startle,-1,4,0.56756757,-0.5333333,NA
monday,9560,9,0,C,Startle,1,1,0.92307692,0.1,NA
friday,9599,1,0,C,Startle,0,1,0.87804878,-0.1666667,1
monday,9599,6,1,S,Startle,1,0,1.09090909,0.06666667,1
monday,9603,3,1,D,Startle,1,6,1.08,-0.0333333,1
friday,(0)3055,2,1,D,Startle,-1,4,0.825,-0.0333333,1
monday,(0)3055,4,1,D,Startle,1,0,0.97058824,-0.2333333,1
friday,(0)3451,3,1,D,Startle,0,0,0.85714286,-0.1666667,1
friday,(0)8730,3,0,C,Startle,0,0,1.07142857,0.13333333,1